,Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
0,1,Ayo Dosunmu,G,28,28,35.1,7.5,15.4,.488,1.1,2.9,.390,6.4,12.4,.511,.526,4.0,5.1,.783,1.1,5.2,6.3,5.3,1.1,0.2,3.3,2.1,20.1,"AA-1,AP-AA-1"
1,2,Kofi Cockburn,C,31,31,27.0,6.9,10.5,.654,0.0,0.0,,6.9,10.5,.654,.654,3.9,7.0,.553,3.4,6.1,9.5,0.2,0.3,1.3,1.7,2.5,17.7,"AA-1,AP-AA-1"
2,3,Trent Frazier,G,31,31,33.7,3.2,7.9,.400,1.8,4.9,.362,1.4,3.0,.462,.512,2.1,2.5,.831,0.2,2.6,2.7,2.7,1.3,0.1,1.5,2.5,10.2,
3,4,Andre Curbelo,G,31,0,21.5,3.5,7.1,.498,0.2,1.0,.161,3.4,6.1,.553,.509,1.9,2.6,.728,0.5,3.5,4.0,4.2,0.9,0.1,2.6,2.7,9.1,
4,5,Adam Miller,G,31,31,25.5,2.9,7.4,.391,1.7,4.9,.340,1.2,2.5,.494,.504,0.8,1.2,.684,0.3,2.5,2.8,0.8,0.6,0.0,1.1,2.3,8.3,
5,6,Da'Monte Williams,G,31,17,24.9,1.7,3.3,.515,1.1,2.1,.547,0.5,1.2,.459,.688,1.0,1.5,.681,1.0,4.3,5.3,1.7,0.8,0.3,0.7,2.0,5.5,
6,7,Giorgi Bezhanishvili,F,31,0,14.5,2.2,4.0,.545,0.1,0.2,.500,2.1,3.8,.547,.557,0.7,1.1,.629,1.4,1.3,2.7,0.4,0.2,0.3,0.9,1.8,5.1,
7,8,Jacob Grandison,G,30,16,15.3,1.7,3.2,.526,0.6,1.4,.415,1.1,1.8,.611,.616,0.7,0.8,.957,1.0,2.4,3.4,1.3,0.5,0.1,0.8,1.2,4.6,
8,9,Coleman Hawkins,F,25,0,6.3,0.4,1.2,.345,0.1,0.5,.231,0.3,0.6,.438,.397,0.5,0.8,.684,0.4,0.5,0.8,0.4,0.1,0.4,0.2,0.6,1.4,
9,10,Jermaine Hamlin,C,8,0,3.0,0.3,0.4,.667,0.0,0.0,,0.3,0.4,.667,.667,0.5,1.0,.500,0.0,0.4,0.4,0.0,0.0,0.1,0.1,0.6,1.0,
10,11,Brandon Lieb,C,5,0,2.4,0.2,1.4,.143,0.0,0.0,,0.2,1.4,.143,.143,0.4,0.4,1.000,0.8,0.4,1.2,0.2,0.0,0.2,0.6,0.0,0.8,
11,12,Tyler Underwood,G,7,0,2.3,0.3,0.4,.667,0.1,0.1,1.000,0.1,0.3,.500,.833,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.3,0.7,
12,13,Zach Griffith,F,7,1,3.1,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.1,0.7,0.9,0.0,0.0,0.0,0.1,0.1,0.6,
13,14,Benjamin Bosmans-Verdonk,F,8,0,2.3,0.1,0.4,.333,0.0,0.0,,0.1,0.4,.333,.333,0.0,0.0,,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.0,0.3,
14,15,Connor Serven,F,7,0,1.9,0.1,0.1,1.000,0.0,0.0,,0.1,0.1,1.000,1.000,0.0,0.0,,0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.3,0.3,
15,16,Edgar Padilla Jr.,G,6,0,1.5,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
