,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Terrence Shannon,31,30,32.1,5.1,11.6,.442,3.5,6.6,.534,1.6,5.0,.321,5.4,6.8,.790,1.2,3.4,4.6,2.8,1.3,0.5,2.6,2.4,17.2
1,2,Matthew Mayer,33,33,26.6,4.0,9.9,.407,2.0,3.8,.532,2.0,6.2,.330,2.4,3.3,.741,1.0,4.4,5.3,1.1,0.8,1.2,1.4,2.4,12.5
2,3,Coleman Hawkins,33,33,32.5,3.7,8.5,.441,2.6,4.5,.585,1.1,4.0,.280,1.3,2.1,.614,1.9,4.3,6.3,3.0,1.1,1.2,2.5,1.8,9.9
3,4,Dain Dainja,33,21,20.5,4.0,6.2,.636,4.0,6.2,.636,0.0,0.0,,1.6,3.1,.525,2.0,3.5,5.5,0.5,0.8,1.2,1.5,1.9,9.5
4,5,Jayden Epps,31,11,24.6,3.6,8.6,.414,2.4,4.7,.510,1.2,4.0,.301,1.1,1.5,.778,0.2,1.6,1.8,1.5,0.6,0.2,1.3,1.5,9.5
5,6,Skyy Clark,13,12,24.5,2.3,5.6,.411,1.2,2.2,.536,1.2,3.5,.333,1.2,1.8,.696,0.5,3.2,3.7,2.1,0.5,0.2,2.1,2.8,7.0
6,7,RJ Melendez,32,18,21.5,2.0,5.3,.376,1.3,2.5,.506,0.8,2.8,.264,1.3,1.5,.833,1.0,2.5,3.5,0.9,0.7,0.4,0.9,1.7,6.0
7,8,Luke Goode,10,0,13.9,1.5,3.1,.484,0.7,1.2,.583,0.8,1.9,.421,0.2,0.2,1.000,0.4,1.2,1.6,0.4,0.5,0.4,0.2,1.7,4.0
8,9,Sencire Harris,33,7,14.5,1.6,3.7,.430,1.2,2.4,.488,0.4,1.2,.317,0.1,0.6,.200,0.6,1.5,2.1,0.9,0.8,0.3,0.6,1.5,3.7
9,10,Ty Rodgers,33,0,17.4,1.5,2.8,.516,1.5,2.8,.522,0.0,0.0,.000,0.4,0.9,.387,1.6,2.4,4.0,1.0,0.7,0.2,0.8,1.8,3.3
10,11,Brandon Lieb,16,0,3.7,0.4,0.8,.583,0.4,0.8,.583,0.0,0.0,,0.1,0.3,.200,0.3,0.8,1.1,0.1,0.0,0.4,0.3,0.9,0.9
11,12,Connor Serven,5,0,3.8,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,0.2,0.4,.500,0.2,0.6,0.8,0.0,0.2,0.0,0.4,0.4,0.2
12,13,Paxton Warden,10,0,1.5,0.1,0.4,.250,0.1,0.1,1.000,0.0,0.3,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2
13,14,Zacharie Perrin,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,15,AJ Redd,2,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
