,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
1,Terrence Shannon,0,SR,G,6-6,210,"Chicago, IL",Lincoln Park HS,81 (2019),"17.2 Pts, 4.6 Reb, 2.8 Ast"
2,Matthew Mayer,24,SR,G,6-9,225,"Austin, TX",Westlake HS,86 (2018),"12.5 Pts, 5.3 Reb, 1.1 Ast"
3,Coleman Hawkins,33,JR,F,6-10,200,"Sacramento, CA",Prolific Prep,,"9.9 Pts, 6.3 Reb, 3.0 Ast"
4,Dain Dainja,42,SO,F,6-9,270,"Brooklyn Park, MN",Park Center HS,70 (2020),"9.5 Pts, 5.5 Reb, 0.5 Ast"
5,Jayden Epps,3,FR,G,6-2,190,"Norfolk, VA",King's Fork (VA); Combine Academy (NC),77 (2022),"9.5 Pts, 1.8 Reb, 1.5 Ast"
6,RJ Melendez,15,SO,G,6-7,205,"Arecibo, Puerto Rico",Central Pointe Christian HS,81 (2021),"6.0 Pts, 3.5 Reb, 0.9 Ast"
7,Sencire Harris,1,FR,G,6-4,160,"Canton, OH",St. VincentâSt. Mary (OH),86 (2022),"3.7 Pts, 2.1 Reb, 0.9 Ast"
8,Ty Rodgers,20,FR,G,6-6,200,"Saginaw, MI",Grand Blanc (MI); Thornton Township (IL),57 (2022),"3.3 Pts, 4.0 Reb, 1.0 Ast"
9,Skyy Clark,55,FR,G,6-3,200,"Los Angeles, CA",Heritage Christian (CA); Montverde Academy (FL),32 (2022),"7.0 Pts, 3.7 Reb, 2.1 Ast"
10,Luke Goode,10,SO,G,6-7,200,"Fort Wayne, IN",Homestead (IN),98 (2021),"4.0 Pts, 1.6 Reb, 0.4 Ast"
11,Brandon Lieb,12,JR,C,7-0,210,"Deerfield, IL",Deerfield HS,,"0.9 Pts, 1.1 Reb, 0.1 Ast"
12,Paxton Warden,22,FR,G,6-4,180,"Glen Ellyn, IL",Glenbard West (IL),,"0.2 Pts, 0.0 Reb, 0.0 Ast"
13,Connor Serven,2,JR,F,6-9,215,"Bushnell, IL",St. Rita HS,,"0.2 Pts, 0.8 Reb, 0.0 Ast"
14,Zacharie Perrin,25,FR,F,6-10,,,,,"0.0 Pts, 0.0 Reb, 0.0 Ast"
15,AJ Redd,5,FR,G,6-3,170,"Chicago, IL",St. Ignatius (IL),,"0.0 Pts, 0.0 Reb, 0.0 Ast"
