,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kofi Cockburn,28,28,30.7,8.1,13.6,0.593,8.1,13.6,0.593,0.0,0.0,0.0,4.8,7.3,0.655,3.4,7.2,10.6,0.8,0.8,1.0,2.3,2.4,20.9
1,Alfonso Plummer,33,29,30.2,4.7,11.0,0.424,1.7,3.7,0.455,3.0,7.3,0.408,2.3,2.6,0.874,0.3,2.1,2.5,1.1,0.3,0.0,1.3,1.6,14.6
2,Trent Frazier,31,30,34.7,3.9,9.8,0.397,1.9,3.6,0.513,2.0,6.2,0.328,1.8,2.1,0.833,0.5,2.3,2.8,4.1,1.3,0.1,1.8,2.0,11.6
3,Jacob Grandison,30,23,25.0,3.4,7.5,0.455,1.6,3.0,0.522,1.8,4.5,0.41,0.9,1.1,0.824,1.1,2.7,3.8,2.3,0.3,0.2,1.2,1.7,9.6
4,Andre Curbelo,19,4,19.3,2.6,7.8,0.329,2.3,6.1,0.374,0.3,1.8,0.176,2.0,2.7,0.745,0.6,2.5,3.1,3.2,0.7,0.1,2.8,2.3,7.5
5,Coleman Hawkins,33,14,19.0,2.1,4.7,0.442,1.5,2.7,0.551,0.6,2.0,0.292,1.2,1.8,0.65,1.4,2.8,4.3,1.5,0.8,0.5,1.4,1.9,5.9
6,Da'Monte Williams,33,30,28.8,1.3,4.2,0.307,0.5,1.8,0.283,0.8,2.4,0.325,0.5,1.0,0.531,1.0,4.0,5.0,2.5,0.8,0.3,0.9,1.7,3.9
7,RJ Melendez,22,1,8.5,1.3,2.3,0.569,0.9,1.6,0.556,0.4,0.7,0.6,0.8,0.9,0.85,0.4,1.3,1.7,0.7,0.3,0.1,0.5,0.5,3.8
8,Austin Hutcherson,4,1,15.3,0.8,2.0,0.375,0.8,1.0,0.75,0.0,1.0,0.0,1.3,1.8,0.714,0.5,1.5,2.0,0.5,0.5,0.3,1.5,1.0,2.8
9,Luke Goode,28,0,8.9,0.6,2.0,0.327,0.1,0.4,0.167,0.6,1.5,0.372,0.1,0.2,0.667,0.6,1.2,1.8,0.5,0.0,0.1,0.3,0.9,2.0
10,Omar Payne,32,3,7.4,0.7,1.1,0.618,0.7,1.1,0.618,0.0,0.0,0.0,0.5,0.9,0.536,0.6,1.1,1.7,0.2,0.1,0.8,0.6,1.8,1.8
11,Benjamin Bosmans-Verdonk,24,2,7.8,0.7,1.5,0.472,0.7,1.5,0.472,0.0,0.0,0.0,0.2,0.7,0.294,1.0,1.1,2.1,0.6,0.3,0.0,0.2,1.4,1.6
12,Brandin Podziemski,16,0,4.3,0.5,1.2,0.421,0.3,0.4,0.833,0.2,0.8,0.231,0.2,0.3,0.75,0.1,0.8,0.9,0.3,0.1,0.0,0.3,0.4,1.4
13,Brandon Lieb,10,0,2.4,0.4,0.5,0.8,0.4,0.5,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.3,0.7,0.1,0.0,0.1,0.1,0.4,0.8
14,Connor Serven,6,0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
